国名,名前,ポジション,クロス,決定力,ヘディング制度,ショートパス,ボレー,ドリブル,カーブ,FK精度,ロングパス,ボールコントロール,加速,トップスピード,俊敏性,リアクション,バランス,シュートパワー,ジャンプ,スタミナ,パワフル,ロングシュート,積極性,パスカット,ポジショニング,視野,ペナルティ,平静,防御意識,タックル,スライディング,GK ダイビング,GK ハンドリング,GK キック,GK ポジショニング,GK 反射神経,能力引用元
Argentina,Enzo FERNANDEZ,MIDFIELDER,66.0,61.0,66.0,80.0,62.0,77.0,74.0,69.0,74.0,80.0,77.0,72.0,76.0,77.0,77.0,83.0,66.0,83.0,79.0,72.0,82.0,69.0,79.0,80.0,73.0,80.0,72.0,75.0,74.0,8.0,6.0,7.0,8.0,10.0,FIFA22
Argentina,Julian ALVAREZ,FORWARD,75.0,79.0,68.0,73.0,75.0,81.0,80.0,74.0,74.0,82.0,90.0,80.0,91.0,77.0,91.0,83.0,69.0,79.0,69.0,79.0,83.0,46.0,81.0,81.0,73.0,82.0,60.0,53.0,46.0,6.0,10.0,8.0,15.0,6.0,FIFA22
Argentina,Lionel MESSI,FORWARD,85.0,91.0,70.0,91.0,88.0,96.0,93.0,93.0,91.0,94.0,90.0,78.0,91.0,93.0,95.0,86.0,68.0,71.0,69.0,93.0,44.0,40.0,93.0,95.0,75.0,96.0,20.0,35.0,24.0,6.0,11.0,15.0,14.0,8.0,FIFA22
Argentina,Angel DI MARIA,FORWARD,86.0,77.0,51.0,83.0,78.0,88.0,91.0,88.0,81.0,87.0,81.0,81.0,93.0,83.0,76.0,83.0,71.0,75.0,62.0,85.0,73.0,42.0,83.0,88.0,73.0,86.0,41.0,55.0,52.0,10.0,7.0,11.0,12.0,11.0,FIFA22
Argentina,Angel CORREA,FORWARD,75.0,85.0,69.0,81.0,80.0,88.0,82.0,65.0,67.0,87.0,86.0,85.0,90.0,84.0,87.0,83.0,49.0,82.0,71.0,86.0,79.0,48.0,85.0,83.0,66.0,77.0,42.0,53.0,44.0,13.0,10.0,9.0,8.0,16.0,FIFA22
Argentina,Paulo DYBALA,FORWARD,82.0,84.0,59.0,87.0,88.0,90.0,89.0,88.0,79.0,93.0,84.0,76.0,88.0,80.0,93.0,84.0,74.0,69.0,60.0,89.0,43.0,42.0,82.0,91.0,84.0,79.0,32.0,41.0,39.0,5.0,4.0,4.0,5.0,8.0,FIFA22
Argentina,Lautaro MARTINEZ,FORWARD,56.0,87.0,84.0,76.0,90.0,83.0,78.0,43.0,73.0,85.0,86.0,80.0,86.0,88.0,89.0,80.0,88.0,80.0,84.0,74.0,90.0,45.0,84.0,80.0,74.0,86.0,55.0,31.0,44.0,11.0,8.0,8.0,8.0,13.0,FIFA22
Australia,Mathew RYAN,GOALKEEPER,23.0,11.0,14.0,40.0,15.0,13.0,23.0,12.0,45.0,24.0,53.0,52.0,53.0,71.0,50.0,62.0,78.0,34.0,65.0,18.0,36.0,23.0,10.0,68.0,25.0,64.0,10.0,20.0,17.0,77.0,75.0,82.0,76.0,79.0,FIFA22
Australia,Andrew REDMAYNE,GOALKEEPER,17.0,11.0,13.0,21.0,15.0,12.0,12.0,14.0,20.0,20.0,42.0,47.0,40.0,64.0,21.0,47.0,36.0,34.0,69.0,14.0,26.0,19.0,7.0,36.0,20.0,50.0,12.0,15.0,12.0,67.0,66.0,63.0,67.0,67.0,FIFA22
Australia,Danny VUKOVIC,GOALKEEPER,11.0,11.0,16.0,25.0,11.0,11.0,15.0,13.0,12.0,18.0,53.0,47.0,41.0,68.0,58.0,47.0,68.0,32.0,74.0,13.0,41.0,17.0,6.0,36.0,37.0,33.0,23.0,15.0,11.0,69.0,68.0,63.0,72.0,71.0,FIFA22
Australia,Milos DEGENEK,DEFENDER,60.0,59.0,70.0,70.0,57.0,52.0,69.0,44.0,71.0,61.0,77.0,76.0,75.0,72.0,65.0,70.0,81.0,81.0,84.0,61.0,81.0,71.0,55.0,67.0,58.0,74.0,67.0,70.0,72.0,14.0,12.0,7.0,10.0,12.0,FIFA22
Australia,Nathaniel ATKINSON,DEFENDER,63.0,55.0,55.0,64.0,39.0,67.0,65.0,47.0,57.0,64.0,78.0,78.0,81.0,62.0,85.0,56.0,86.0,83.0,72.0,48.0,65.0,58.0,66.0,56.0,51.0,65.0,57.0,66.0,60.0,15.0,11.0,12.0,12.0,6.0,FIFA22
Australia,Kye ROWLES,DEFENDER,26.0,16.0,58.0,62.0,31.0,33.0,24.0,22.0,52.0,45.0,63.0,70.0,60.0,61.0,64.0,34.0,81.0,74.0,73.0,27.0,67.0,62.0,27.0,29.0,33.0,62.0,68.0,66.0,63.0,13.0,12.0,6.0,10.0,9.0,FIFA22
Australia,Fran KARACIC,DEFENDER,67.0,41.0,58.0,66.0,20.0,65.0,48.0,48.0,64.0,64.0,78.0,79.0,75.0,64.0,63.0,58.0,71.0,83.0,70.0,50.0,70.0,66.0,65.0,56.0,43.0,63.0,51.0,63.0,63.0,9.0,11.0,9.0,12.0,7.0,FIFA22
Australia,Bailey WRIGHT,DEFENDER,47.0,39.0,67.0,61.0,22.0,44.0,36.0,27.0,49.0,59.0,53.0,54.0,55.0,64.0,57.0,40.0,84.0,69.0,77.0,36.0,72.0,65.0,39.0,46.0,39.0,64.0,66.0,66.0,65.0,13.0,10.0,15.0,15.0,16.0,FIFA22
Australia,Aziz BEHICH,DEFENDER,69.0,63.0,54.0,68.0,57.0,71.0,72.0,55.0,66.0,67.0,80.0,74.0,84.0,63.0,87.0,73.0,75.0,72.0,60.0,60.0,80.0,65.0,61.0,50.0,47.0,64.0,66.0,69.0,66.0,14.0,11.0,11.0,14.0,15.0,FIFA22
Australia,Harry SOUTTAR,DEFENDER,24.0,25.0,72.0,66.0,23.0,56.0,26.0,31.0,63.0,63.0,43.0,40.0,58.0,71.0,33.0,33.0,70.0,66.0,84.0,26.0,64.0,73.0,26.0,50.0,40.0,62.0,73.0,72.0,73.0,12.0,12.0,12.0,15.0,13.0,FIFA22
Australia,Thomas DENG,DEFENDER,42.0,26.0,63.0,62.0,48.0,48.0,26.0,28.0,58.0,57.0,75.0,79.0,73.0,55.0,61.0,70.0,80.0,66.0,71.0,52.0,63.0,65.0,37.0,37.0,39.0,62.0,65.0,66.0,59.0,9.0,9.0,9.0,8.0,14.0,FIFA23
Australia,Joel KING,DEFENDER,52.0,27.0,60.0,65.0,28.0,61.0,26.0,30.0,62.0,57.0,74.0,71.0,65.0,59.0,69.0,29.0,69.0,80.0,73.0,29.0,52.0,57.0,58.0,38.0,31.0,54.0,62.0,64.0,63.0,8.0,10.0,11.0,11.0,10.0,FIFA22
Australia,Marco TILIO,FORWARD,60.0,58.0,46.0,61.0,47.0,65.0,66.0,55.0,50.0,66.0,85.0,81.0,85.0,58.0,85.0,63.0,69.0,64.0,45.0,63.0,58.0,36.0,60.0,63.0,46.0,62.0,34.0,42.0,43.0,12.0,7.0,13.0,14.0,14.0,FIFA22
Australia,Mathew LECKIE,FORWARD,66.0,64.0,68.0,66.0,63.0,72.0,70.0,50.0,56.0,71.0,80.0,84.0,73.0,68.0,79.0,70.0,82.0,72.0,76.0,62.0,68.0,54.0,68.0,65.0,64.0,68.0,51.0,50.0,46.0,8.0,10.0,8.0,6.0,10.0,FIFA22
Australia,Jamie MacLAREN,FORWARD,57.0,78.0,73.0,70.0,65.0,70.0,71.0,67.0,56.0,70.0,83.0,80.0,84.0,75.0,80.0,74.0,90.0,85.0,70.0,68.0,71.0,40.0,82.0,66.0,73.0,76.0,30.0,37.0,31.0,9.0,15.0,11.0,6.0,13.0,FIFA22
Australia,Awer MABIL,FORWARD,67.0,59.0,50.0,60.0,64.0,70.0,71.0,66.0,54.0,66.0,89.0,86.0,83.0,55.0,69.0,74.0,71.0,68.0,54.0,60.0,59.0,35.0,67.0,59.0,63.0,64.0,34.0,33.0,20.0,16.0,12.0,18.0,13.0,12.0,FIFA22
Australia,Mitch DUKE,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Garang KUOL,FORWARD,38.0,63.0,44.0,52.0,39.0,48.0,42.0,46.0,55.0,51.0,79.0,82.0,62.0,55.0,76.0,52.0,55.0,51.0,44.0,47.0,26.0,33.0,48.0,55.0,62.0,54.0,32.0,10.0,16.0,15.0,6.0,14.0,8.0,6.0,FIFA22
Australia,Craig GOODWIN,FORWARD,74.0,69.0,53.0,65.0,63.0,72.0,71.0,73.0,62.0,72.0,82.0,83.0,80.0,68.0,76.0,68.0,80.0,83.0,70.0,67.0,66.0,59.0,72.0,68.0,65.0,67.0,58.0,59.0,55.0,9.0,11.0,10.0,7.0,7.0,FIFA22
Australia,Jason CUMMINGS,FORWARD,41.0,66.0,65.0,63.0,59.0,63.0,66.0,45.0,47.0,65.0,70.0,72.0,69.0,61.0,72.0,68.0,60.0,70.0,62.0,64.0,60.0,45.0,66.0,61.0,68.0,68.0,21.0,40.0,32.0,15.0,7.0,11.0,10.0,12.0,FIFA22
Australia,Ajdin HRUSTIC,MIDFIELDER,68.0,63.0,51.0,75.0,65.0,71.0,78.0,75.0,71.0,76.0,71.0,75.0,75.0,68.0,72.0,74.0,65.0,76.0,65.0,77.0,69.0,63.0,68.0,72.0,63.0,70.0,60.0,64.0,53.0,9.0,7.0,8.0,7.0,6.0,FIFA22
Australia,Aaron MOOY,MIDFIELDER,77.0,68.0,50.0,80.0,66.0,73.0,73.0,72.0,80.0,77.0,67.0,57.0,68.0,74.0,77.0,76.0,72.0,81.0,74.0,78.0,75.0,70.0,70.0,79.0,73.0,80.0,72.0,72.0,69.0,11.0,8.0,12.0,11.0,12.0,FIFA22
Australia,Riley McGREE,MIDFIELDER,67.0,70.0,54.0,69.0,64.0,73.0,68.0,62.0,68.0,72.0,81.0,77.0,84.0,71.0,75.0,68.0,68.0,78.0,73.0,67.0,67.0,65.0,74.0,71.0,63.0,73.0,64.0,63.0,58.0,12.0,9.0,5.0,8.0,13.0,FIFA22
Australia,Cameron DEVLIN,MIDFIELDER,60.0,58.0,51.0,73.0,48.0,67.0,50.0,53.0,66.0,72.0,73.0,68.0,78.0,71.0,86.0,52.0,60.0,90.0,62.0,52.0,86.0,70.0,62.0,66.0,46.0,71.0,70.0,72.0,67.0,14.0,7.0,6.0,12.0,6.0,FIFA22
Australia,Jackson IRVINE,MIDFIELDER,61.0,65.0,73.0,69.0,58.0,67.0,63.0,58.0,63.0,70.0,64.0,65.0,58.0,70.0,58.0,73.0,80.0,80.0,75.0,65.0,72.0,67.0,69.0,70.0,55.0,69.0,65.0,67.0,64.0,7.0,13.0,11.0,9.0,11.0,FIFA22
Australia,Keanu BACCUS,MIDFIELDER,51.0,41.0,49.0,70.0,40.0,66.0,42.0,55.0,65.0,68.0,76.0,75.0,84.0,70.0,78.0,68.0,56.0,85.0,63.0,68.0,73.0,76.0,55.0,62.0,42.0,65.0,60.0,76.0,72.0,7.0,7.0,11.0,7.0,8.0,FIFA22
Belgium,Thibaut COURTOIS,GOALKEEPER,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,35.0,23.0,42.0,52.0,62.0,84.0,45.0,56.0,68.0,38.0,70.0,17.0,23.0,15.0,13.0,44.0,27.0,66.0,20.0,18.0,16.0,84.0,89.0,74.0,86.0,88.0,FIFA22
Belgium,Simon MIGNOLET,GOALKEEPER,11.0,11.0,16.0,37.0,16.0,14.0,16.0,12.0,34.0,26.0,50.0,52.0,34.0,74.0,52.0,59.0,69.0,31.0,72.0,16.0,34.0,21.0,14.0,43.0,41.0,61.0,7.0,14.0,16.0,80.0,74.0,78.0,83.0,82.0,FIFA22
Belgium,Koen CASTEELS,GOALKEEPER,15.0,15.0,14.0,35.0,13.0,14.0,20.0,13.0,37.0,23.0,44.0,46.0,50.0,81.0,43.0,59.0,58.0,44.0,72.0,18.0,33.0,16.0,15.0,42.0,20.0,40.0,11.0,19.0,17.0,84.0,82.0,79.0,84.0,86.0,FIFA22
Belgium,Toby ALDERWEIRELD,DEFENDER,64.0,45.0,81.0,77.0,38.0,62.0,63.0,59.0,81.0,75.0,55.0,60.0,54.0,85.0,62.0,78.0,81.0,76.0,77.0,58.0,79.0,85.0,52.0,62.0,58.0,86.0,87.0,87.0,84.0,16.0,6.0,14.0,16.0,14.0,FIFA22
Belgium,Arthur THEATE,DEFENDER,53.0,23.0,71.0,58.0,24.0,48.0,26.0,27.0,53.0,59.0,72.0,76.0,49.0,67.0,46.0,70.0,70.0,69.0,84.0,58.0,80.0,72.0,23.0,43.0,32.0,65.0,74.0,76.0,74.0,7.0,6.0,12.0,11.0,10.0,FIFA22
Belgium,Wout FAES,DEFENDER,32.0,34.0,79.0,71.0,24.0,53.0,41.0,35.0,70.0,65.0,62.0,60.0,42.0,73.0,58.0,60.0,70.0,70.0,79.0,27.0,74.0,76.0,41.0,42.0,42.0,69.0,77.0,78.0,75.0,12.0,10.0,8.0,7.0,7.0,FIFA22
Belgium,Jan VERTONGHEN,DEFENDER,70.0,54.0,78.0,76.0,52.0,64.0,66.0,70.0,74.0,70.0,67.0,71.0,56.0,81.0,60.0,80.0,89.0,72.0,80.0,66.0,80.0,79.0,56.0,66.0,66.0,81.0,84.0,84.0,85.0,6.0,10.0,9.0,12.0,7.0,FIFA22
Belgium,Leander DENDONCKER,DEFENDER,75.0,65.0,77.0,80.0,70.0,73.0,73.0,71.0,78.0,76.0,53.0,67.0,55.0,73.0,54.0,85.0,73.0,83.0,85.0,75.0,75.0,77.0,76.0,75.0,55.0,77.0,78.0,78.0,75.0,14.0,8.0,14.0,14.0,6.0,FIFA22
Belgium,Zeno DEBAST,DEFENDER,35.0,21.0,59.0,60.0,27.0,52.0,28.0,29.0,58.0,62.0,58.0,66.0,52.0,56.0,48.0,35.0,63.0,51.0,73.0,26.0,62.0,63.0,23.0,35.0,32.0,62.0,56.0,61.0,56.0,6.0,6.0,15.0,6.0,5.0,FIFA22
Belgium,Axel WITSEL,MIDFIELDER,68.0,62.0,82.0,89.0,75.0,76.0,71.0,64.0,81.0,80.0,34.0,43.0,68.0,79.0,70.0,64.0,81.0,71.0,78.0,57.0,72.0,77.0,69.0,76.0,76.0,88.0,79.0,80.0,74.0,5.0,7.0,7.0,10.0,7.0,FIFA22
Belgium,Kevin DE BRUYNE,MIDFIELDER,94.0,83.0,55.0,93.0,83.0,88.0,85.0,83.0,93.0,90.0,76.0,76.0,79.0,91.0,78.0,92.0,63.0,88.0,74.0,91.0,75.0,66.0,88.0,94.0,83.0,89.0,68.0,65.0,53.0,15.0,13.0,5.0,10.0,13.0,FIFA22
Belgium,Youri TIELEMANS,MIDFIELDER,82.0,74.0,67.0,89.0,78.0,81.0,84.0,78.0,88.0,85.0,67.0,55.0,67.0,84.0,77.0,87.0,66.0,85.0,69.0,87.0,68.0,73.0,80.0,87.0,77.0,85.0,70.0,73.0,68.0,6.0,8.0,10.0,14.0,12.0,FIFA22
Belgium,Thomas MEUNIER,MIDFIELDER,82.0,70.0,80.0,73.0,77.0,75.0,76.0,56.0,72.0,73.0,67.0,78.0,62.0,73.0,47.0,80.0,74.0,83.0,84.0,77.0,75.0,74.0,75.0,73.0,65.0,74.0,71.0,74.0,79.0,8.0,13.0,15.0,6.0,9.0,FIFA22
Belgium,Thorgan HAZARD,MIDFIELDER,80.0,74.0,42.0,80.0,77.0,84.0,82.0,81.0,75.0,83.0,83.0,74.0,91.0,81.0,88.0,77.0,60.0,77.0,64.0,76.0,57.0,63.0,79.0,80.0,79.0,78.0,58.0,45.0,53.0,6.0,9.0,7.0,7.0,8.0,FIFA22
Belgium,Amadou ONANA,MIDFIELDER,59.0,57.0,67.0,75.0,47.0,73.0,58.0,42.0,73.0,74.0,71.0,79.0,65.0,72.0,52.0,67.0,68.0,76.0,80.0,50.0,71.0,69.0,61.0,67.0,40.0,67.0,66.0,68.0,71.0,7.0,12.0,12.0,9.0,10.0,FIFA22
Belgium,Hans VANAKEN,MIDFIELDER,75.0,82.0,80.0,84.0,79.0,78.0,78.0,75.0,78.0,82.0,38.0,54.0,57.0,78.0,40.0,76.0,36.0,88.0,76.0,75.0,57.0,61.0,84.0,84.0,80.0,86.0,58.0,55.0,50.0,13.0,6.0,9.0,15.0,11.0,FIFA22
Belgium,Timothy CASTAGNE,MIDFIELDER,79.0,59.0,69.0,75.0,40.0,77.0,58.0,33.0,70.0,78.0,77.0,78.0,71.0,78.0,66.0,62.0,72.0,84.0,66.0,52.0,75.0,78.0,77.0,69.0,47.0,68.0,77.0,75.0,72.0,14.0,9.0,15.0,10.0,15.0,FIFA22
Belgium,Romelu LUKAKU,FORWARD,73.0,89.0,87.0,77.0,78.0,82.0,78.0,66.0,70.0,77.0,76.0,86.0,60.0,86.0,52.0,87.0,75.0,67.0,95.0,74.0,71.0,27.0,86.0,75.0,88.0,82.0,30.0,41.0,30.0,8.0,15.0,14.0,7.0,10.0,FIFA22
Belgium,Eden HAZARD,FORWARD,77.0,78.0,61.0,85.0,82.0,89.0,83.0,79.0,81.0,87.0,85.0,82.0,86.0,78.0,89.0,82.0,55.0,76.0,61.0,77.0,54.0,41.0,83.0,84.0,87.0,88.0,34.0,27.0,22.0,11.0,12.0,6.0,8.0,8.0,FIFA22
Belgium,Yannick CARRASCO,FORWARD,81.0,81.0,53.0,79.0,70.0,88.0,82.0,79.0,73.0,85.0,89.0,88.0,87.0,80.0,73.0,85.0,71.0,79.0,61.0,82.0,65.0,47.0,80.0,78.0,81.0,80.0,43.0,47.0,35.0,9.0,11.0,9.0,10.0,10.0,FIFA22
Belgium,Dries MERTENS,FORWARD,73.0,84.0,40.0,84.0,70.0,88.0,82.0,82.0,72.0,88.0,90.0,79.0,92.0,80.0,92.0,80.0,58.0,66.0,37.0,82.0,59.0,36.0,82.0,84.0,79.0,81.0,23.0,40.0,40.0,7.0,10.0,8.0,10.0,4.0,FIFA22
Belgium,Leandro TROSSARD,FORWARD,76.0,78.0,65.0,77.0,74.0,81.0,82.0,69.0,74.0,78.0,89.0,76.0,92.0,72.0,85.0,78.0,78.0,74.0,60.0,79.0,47.0,18.0,77.0,76.0,75.0,82.0,30.0,31.0,18.0,14.0,8.0,11.0,7.0,7.0,FIFA22
Belgium,DE KETELAERE,FORWARD,74.0,78.0,75.0,77.0,76.0,79.0,73.0,72.0,77.0,82.0,74.0,77.0,78.0,75.0,60.0,77.0,69.0,83.0,75.0,74.0,57.0,59.0,77.0,78.0,67.0,76.0,45.0,61.0,57.0,11.0,8.0,14.0,8.0,8.0,FIFA22
Belgium,Michy BATSHUAYI,FORWARD,65.0,77.0,74.0,62.0,76.0,75.0,66.0,54.0,38.0,77.0,75.0,76.0,75.0,76.0,71.0,85.0,80.0,69.0,82.0,73.0,63.0,23.0,78.0,64.0,67.0,79.0,37.0,26.0,22.0,9.0,10.0,16.0,7.0,15.0,FIFA22
Belgium,Lois OPENDA,FORWARD,67.0,74.0,64.0,70.0,63.0,71.0,51.0,43.0,52.0,70.0,94.0,93.0,78.0,69.0,78.0,73.0,92.0,76.0,75.0,64.0,69.0,16.0,74.0,67.0,75.0,70.0,29.0,19.0,15.0,9.0,8.0,10.0,8.0,13.0,FIFA22
Belgium,Jeremy DOKU,FORWARD,65.0,67.0,37.0,70.0,54.0,83.0,60.0,44.0,59.0,76.0,94.0,90.0,91.0,70.0,88.0,73.0,76.0,62.0,67.0,59.0,58.0,18.0,72.0,71.0,51.0,71.0,22.0,28.0,25.0,11.0,10.0,8.0,9.0,12.0,FIFA22
Brazil,ALISSON ,GOALKEEPER,17.0,13.0,29.0,55.0,20.0,27.0,19.0,18.0,56.0,40.0,56.0,47.0,40.0,87.0,37.0,63.0,52.0,32.0,78.0,14.0,27.0,11.0,13.0,66.0,23.0,68.0,15.0,19.0,16.0,86.0,86.0,84.0,90.0,89.0,FIFA22
Brazil,WEVERTON ,GOALKEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,EDERSON ,GOALKEEPER,20.0,14.0,14.0,61.0,18.0,23.0,15.0,20.0,66.0,40.0,64.0,63.0,60.0,88.0,48.0,70.0,66.0,41.0,78.0,18.0,38.0,27.0,20.0,70.0,51.0,70.0,29.0,15.0,8.0,87.0,82.0,93.0,88.0,88.0,FIFA22
Brazil,DANILO ,DEFENDER,76.0,59.0,76.0,77.0,69.0,73.0,73.0,73.0,74.0,79.0,67.0,77.0,62.0,77.0,65.0,84.0,75.0,77.0,80.0,69.0,78.0,82.0,69.0,64.0,67.0,78.0,82.0,82.0,80.0,14.0,5.0,15.0,14.0,5.0,FIFA22
Brazil,THIAGO SILVA,DEFENDER,60.0,40.0,82.0,81.0,61.0,67.0,62.0,61.0,82.0,79.0,52.0,54.0,67.0,83.0,66.0,71.0,88.0,68.0,82.0,65.0,76.0,89.0,59.0,71.0,60.0,86.0,88.0,86.0,84.0,9.0,12.0,5.0,9.0,10.0,FIFA22
Brazil,MARQUINHOS ,DEFENDER,68.0,59.0,88.0,84.0,35.0,69.0,58.0,32.0,85.0,79.0,79.0,83.0,69.0,88.0,67.0,65.0,92.0,83.0,78.0,45.0,81.0,89.0,70.0,76.0,52.0,86.0,90.0,89.0,89.0,6.0,6.0,12.0,10.0,13.0,FIFA22
Brazil,ALEX SANDRO,DEFENDER,82.0,55.0,76.0,79.0,68.0,78.0,78.0,56.0,68.0,80.0,73.0,79.0,75.0,79.0,76.0,78.0,78.0,81.0,77.0,72.0,80.0,76.0,69.0,70.0,60.0,78.0,76.0,80.0,77.0,7.0,7.0,9.0,12.0,5.0,FIFA22
